[RELA_INVERSE]
3_UTR_of|Has_3_UTR
    "usageType": "UNDEFINED",
    "version": "latest"
}
TTY|DFG|tty_class|PN
{
    "abbreviation": "DFG",
    "branch": "$",
    "codeVariantType": "PN",
    "exclude": false,
    "expandedForm": "Dose Form Group",
    "hierarchicalType": false,
    "id": 2203,
    "lastModified": 1483228800000,
    "lastModifiedBy": "loader",
    "nameVariantType": "UNDEFINED",
    "normExclude": false,
    "obsolete": false,
    "publishable": true,
    "published": true,
    "style": "UNDEFINED",
    "suppressible": false,
    "terminology": "NCIMTH",
    "timestamp": 1483228800000,
    "usageType": "UNDEFINED",
    "version": "latest"
}
TTY|DHT|tty_class|UNDEFINED
TTY|DHT|tty_class|hierarchical
TTY|DHT|tty_class|obsolete
{
    "abbreviation": "DHT",
    "branch": "$",
    "codeVariantType": "UNDEFINED",
    "exclude": false,
    "expandedForm": "Deprecated hierarchical term",
    "hierarchicalType": true,
    "id": 2251,
    "lastModified": 1483228800000,
    "lastModifiedBy": "loader",
    "nameVariantType": "UNDEFINED",
    "normExclude": false,
    "obsolete": true,
    "publishable": true,
    "published": true,
    "style": "UNDEFINED",
    "suppressible": true,
    "terminology": "NCIMTH",
    "timestamp": 1483228800000,
    "usageType": "UNDEFINED",
    "version": "latest"
}
TTY|DI|tty_class|PN
{
    "abbreviation": "DI",
    "branch": "$",
    "codeVariantType": "PN",
    "exclude": false,
    "expandedForm": "Disease name",
    "hierarchicalType": false,
    "id": 2287,
    "lastModified": 1483228800000,
    "lastModifiedBy": "loader",
    "nameVariantType": "UNDEFINED",
    "normExclude": false,
    "obsolete": false,
    "publishable": true,
    "published": true,
    "style": "UNDEFINED",
    "suppressible": false,
    "terminology": "NCIMTH",
    "timestamp": 1483228800000,
    "usageType": "UNDEFINED",
    "version": "latest"
}
TTY|DN|tty_class|SY
{
    "abbreviation": "DN",
    "branch": "$",
    "codeVariantType": "SY",
    "exclude": false,
    "expandedForm": "Display Name",
    "hierarchicalType": false,
    "id": 2290,
    "lastModified": 1483228800000,
    "lastModifiedBy": "loader",
    "nameVariantType": "UNDEFINED",
    "normExclude": false,
    "obsolete": false,
    "publishable": true,
    "published": true,
    "style": "UNDEFINED",
    "suppressible": false,
    "terminology": "NCIMTH",
    "timestamp": 1483228800000,
    "usageType": "UNDEFINED",
    "version": "latest"
}
TTY|DP|tty_class|PN
{
    "abbreviation": "DP",
    "branch": "$",
    "codeVariantType": "PN",
    "exclude": false,
    "expandedForm": "Drug Product",
    "hierarchicalType": false,
    "id": 2292,
    "lastModified": 1483228800000,
    "lastModifiedBy": "loader",
    "nameVariantType": "UNDEFINED",
    "normExclude": false,
    "obsolete": false,
    "publishable": true,
    "published": true,
    "style": "UNDEFINED",
    "suppressible": false,
    "terminology": "NCIMTH",
    "timestamp": 1483228800000,
    "usageType": "UNDEFINED",
    "version": "latest"
}
TTY|DPT|tty_class|PN
TTY|DPT|tty_class|obsolete
{
    "abbreviation": "DPT",
    "branch": "$",
    "codeVariantType": "PN",
    "exclude": false,
    "expandedForm": "Deprecated preferred term",
    "hierarchicalType": false,
    "id": 2244,
    "lastModified": 1483228800000,
    "lastModifiedBy": "loader",
    "nameVariantType": "UNDEFINED",
    "normExclude": false,
    "obsolete": true,
    "publishable": true,
    "published": true,
    "style": "UNDEFINED",
    "suppressible": true,
    "terminology": "NCIMTH",
    "timestamp": 1483228800000,
    "usageType": "UNDEFINED",
    "version": "latest"
}
TTY|DS|tty_class|SY
TTY|DS|tty_class|AB
{
    "abbreviation": "DS",
    "branch": "$",
    "codeVariantType": "SY",
    "exclude": false,
    "expandedForm": "Short form of descriptor",
    "hierarchicalType": false,
    "id": 2295,
    "lastModified": 1483228800000,
    "lastModifiedBy": "loader",
    "nameVariantType": "AB",
    "normExclude": false,
    "obsolete": false,
    "publishable": true,
    "published": true,
    "style": "UNDEFINED",
    "suppressible": false,
    "terminology": "NCIMTH",
    "timestamp": 1483228800000,
    "usageType": "UNDEFINED",
    "version": "latest"
}
TTY|DSV|tty_class|SY
TTY|DSV|tty_class|AB
{
    "abbreviation": "DSV",
    "branch": "$",
    "codeVariantType": "SY",
    "exclude": false,
    "expandedForm": "Descriptor sort version",
    "hierarchicalType": false,
    "id": 2308,
    "lastModified": 1483228800000,
    "lastModifiedBy": "loader",
    "nameVariantType": "AB",
    "normExclude": false,
    "obsolete": false,
    "publishable": true,
    "published": true,
    "style": "UNDEFINED",
    "suppressible": true,
    "terminology": "NCIMTH",
    "timestamp": 1483228800000,
    "usageType": "UNDEFINED",
    "version": "latest"
}
TTY|DSY|tty_class|SY
TTY|DSY|tty_class|obsolete
{
    "abbreviation": "DSY",
    "branch": "$",
    "codeVariantType": "SY",
    "exclude": false,
    "expandedForm": "Deprecated synonym",
    "hierarchicalType": false,
    "id": 2313,
    "lastModified": 1483228800000,
    "lastModifiedBy": "loader",
    "nameVariantType": "UNDEFINED",
    "normExclude": false,
    "obsolete": true,
    "publishable": true,
    "published": true,
    "style": "UNDEFINED",
    "suppressible": true,
    "terminology": "NCIMTH",
    "timestamp": 1483228800000,
    "usageType": "UNDEFINED",
    "version": "latest"
}
TTY|DT|tty_class|UNDEFINED
{
    "abbreviation": "DT",
    "branch": "$",
    "codeVariantType": "UNDEFINED",
    "exclude": false,
    "expandedForm": "Definitional term, present in the Metathesaurus because of its connection to a Dorland's definition or to a definition created especially for the Metathesaurus",
    "hierarchicalType": false,
    "id": 2297,
    "lastModified": 1483228800000,
    "lastModifiedBy": "loader",
    "nameVariantType": "UNDEFINED",
    "normExclude": false,
    "obsolete": false,
    "publishable": true,
    "published": true,
    "style": "UNDEFINED",
    "suppressible": false,
    "terminology": "NCIMTH",
    "timestamp": 1483228800000,
    "usageType": "UNDEFINED",
    "version": "latest"
}
TTY|EQ|tty_class|SY
{
    "abbreviation": "EQ",
    "branch": "$",
    "codeVariantType": "SY",
    "exclude": false,
    "expandedForm": "Equivalent name",
    "hierarchicalType": false,
    "id": 2314,
    "lastModified": 1483228800000,
    "lastModifiedBy": "loader",
    "nameVariantType": "UNDEFINED",
    "normExclude": false,
    "obsolete": false,
    "publishable": true,
    "published": true,
    "style": "UNDEFINED",
    "suppressible": false,
    "terminology": "NCIMTH",
    "timestamp": 1483228800000,
    "usageType": "UNDEFINED",
    "version": "latest"
}
TTY|ES|tty_class|ET
TTY|ES|tty_class|AB
{
    "abbreviation": "ES",
    "branch": "$",
    "codeVariantType": "ET",
    "exclude": false,
    "expandedForm": "Short form of entry term",
    "hierarchicalType": false,
    "id": 2316,
    "lastModified": 1483228800000,
    "lastModifiedBy": "loader",
    "nameVariantType": "AB",
    "normExclude": false,
    "obsolete": false,
    "publishable": true,
    "published": true,
    "style": "UNDEFINED",
    "suppressible": false,
    "terminology": "NCIMTH",
    "timestamp": 1483228800000,
    "usageType": "UNDEFINED",
    "version": "latest"
}
TTY|ET|tty_class|ET
{
    "abbreviation": "ET",
    "branch": "$",
    "codeVariantType": "ET",
    "exclude": false,
    "expandedForm": "Entry term",
    "hierarchicalType": false,
    "id": 2317,
    "lastModified": 1483228800000,
    "lastModifiedBy": "loader",
    "nameVariantType": "UNDEFINED",
    "normExclude": false,
    "obsolete": false,
    "publishable": true,
    "published": true,
    "style": "UNDEFINED",
    "suppressible": false,
    "terminology": "NCIMTH",
    "timestamp": 1483228800000,
    "usageType": "UNDEFINED",
    "version": "latest"
}
TTY|ETAL|tty_class|ET
{
    "abbreviation": "ETAL",
    "branch": "$",
    "codeVariantType": "ET",
    "exclude": false,
    "expandedForm": "Entry Term Alias",
    "hierarchicalType": false,
    "id": 2235,
    "lastModified": 1483228800000,
    "lastModifiedBy": "loader",
    "nameVariantType": "UNDEFINED",
    "normExclude": false,
    "obsolete": false,
    "publishable": true,
    "published": true,
    "style": "UNDEFINED",
    "suppressible": false,
    "terminology": "NCIMTH",
    "timestamp": 1483228800000,
    "usageType": "UNDEFINED",
    "version": "latest"
}
TTY|EX|tty_class|ET
TTY|EX|tty_class|EXPANDED
{
    "abbreviation": "EX",
    "branch": "$",
    "codeVariantType": "ET",
    "exclude": false,
    "expandedForm": "Expanded form of entry term",
    "hierarchicalType": false,
    "id": 2319,
    "lastModified": 1483228800000,
    "lastModifiedBy": "loader",
    "nameVariantType": "EXPANDED",
    "normExclude": false,
    "obsolete": false,
    "publishable": true,
    "published": true,
    "style": "UNDEFINED",
    "suppressible": false,
    "terminology": "NCIMTH",
    "timestamp": 1483228800000,
    "usageType": "UNDEFINED",
    "version": "latest"
}
TTY|FBD|tty_class|SY
{
    "abbreviation": "FBD",
    "branch": "$",
    "codeVariantType": "SY",
    "exclude": false,
    "expandedForm": "Foreign brand name",
    "hierarchicalType": false,
    "id": 2207,
    "lastModified": 1483228800000,
    "lastModifiedBy": "loader",
    "nameVariantType": "UNDEFINED",
    "normExclude": false,
    "obsolete": false,
    "publishable": true,
    "published": true,
    "style": "UNDEFINED",
    "suppressible": false,
    "terminology": "NCIMTH",
    "timestamp": 1483228800000,
    "usageType": "UNDEFINED",
    "version": "latest"
}
TTY|FI|tty_class|PN
{
    "abbreviation": "FI",
    "branch": "$",
    "codeVariantType": "PN",
    "exclude": false,
    "expandedForm": "Finding name",
    "hierarchicalType": false,
    "id": 2330,
    "lastModified": 1483228800000,
    "lastModifiedBy": "loader",
    "nameVariantType": "UNDEFINED",
    "normExclude": false,
    "obsolete": false,
    "publishable": true,
    "published": true,
    "style": "UNDEFINED",
    "suppressible": false,
    "terminology": "NCIMTH",
    "timestamp": 1483228800000,
    "usageType": "UNDEFINED",
    "version": "latest"
}
TTY|FN|tty_class|PN
{
    "abbreviation": "FN",
    "branch": "$",
    "codeVariantType": "PN",
    "exclude": false,
    "expandedForm": "Full form of descriptor",
    "hierarchicalType": false,
    "id": 2334,
    "lastModified": 1483228800000,
    "lastModifiedBy": "loader",
    "nameVariantType": "UNDEFINED",
    "normExclude": false,
    "obsolete": false,
    "publishable": true,
    "published": true,
    "style": "UNDEFINED",
    "suppressible": false,
    "terminology": "NCIMTH",
    "timestamp": 1483228800000,
    "usageType": "UNDEFINED",
    "version": "latest"
}
TTY|FSY|tty_class|SY
{
    "abbreviation": "FSY",
    "branch": "$",
    "codeVariantType": "SY",
    "exclude": false,
    "expandedForm": "Foreign Synonym",
    "hierarchicalType": false,
    "id": 1321902,
    "lastModified": 1546628943000,
    "lastModifiedBy": "MTH_2018AB",
    "nameVariantType": "UNDEFINED",
    "normExclude": false,
    "obsolete": false,
    "publishable": true,
    "published": false,
    "style": "UNDEFINED",
    "suppressible": false,
    "terminology": "NCIMTH",
    "timestamp": 1546628943000,
    "usageType": "UNDEFINED",
    "version": "latest"
}
TTY|GPCK|tty_class|PN
{
    "abbreviation": "GPCK",
    "branch": "$",
    "codeVariantType": "PN",
    "exclude": false,
    "expandedForm": "Generic Drug Delivery Device",
    "hierarchicalType": false,
    "id": 2227,
    "lastModified": 1483228800000,
    "lastModifiedBy": "loader",
    "nameVariantType": "UNDEFINED",
    "normExclude": false,
    "obsolete": false,
    "publishable": true,
    "published": true,
    "style": "UNDEFINED",
    "suppressible": false,
    "terminology": "NCIMTH",
    "timestamp": 1483228800000,
    "usageType": "UNDEFINED",
    "version": "latest"
}
TTY|GT|tty_class|ET
{
    "abbreviation": "GT",
    "branch": "$",
    "codeVariantType": "ET",
    "exclude": false,
    "expandedForm": "Glossary term",
    "hierarchicalType": false,
    "id": 2357,
    "lastModified": 1483228800000,
    "lastModifiedBy": "loader",
    "nameVariantType": "UNDEFINED",
    "normExclude": false,
    "obsolete": false,
    "publishable": true,
    "published": true,
    "style": "UNDEFINED",
    "suppressible": false,
    "terminology": "NCIMTH",
    "timestamp": 1483228800000,
    "usageType": "UNDEFINED",
    "version": "latest"
}
TTY|HC|tty_class|UNDEFINED
TTY|HC|tty_class|hierarchical
{
    "abbreviation": "HC",
    "branch": "$",
    "codeVariantType": "UNDEFINED",
    "exclude": false,
    "expandedForm": "Hierarchical class",
    "hierarchicalType": true,
    "id": 2372,
    "lastModified": 1483228800000,
    "lastModifiedBy": "loader",
    "nameVariantType": "UNDEFINED",
    "normExclude": false,
    "obsolete": false,
    "publishable": true,
    "published": true,
    "style": "UNDEFINED",
    "suppressible": false,
    "terminology": "NCIMTH",
    "timestamp": 1483228800000,
    "usageType": "UNDEFINED",
    "version": "latest"
}
TTY|HD|tty_class|UNDEFINED
TTY|HD|tty_class|hierarchical
{
    "abbreviation": "HD",
    "branch": "$",
    "codeVariantType": "UNDEFINED",
    "exclude": false,
    "expandedForm": "Hierarchical descriptor",
    "hierarchicalType": true,
    "id": 2373,
    "lastModified": 1483228800000,
    "lastModifiedBy": "loader",
    "nameVariantType": "UNDEFINED",
    "normExclude": false,
    "obsolete": false,
    "publishable": true,
    "published": true,
    "style": "UNDEFINED",
    "suppressible": false,
    "terminology": "NCIMTH",
    "timestamp": 1483228800000,
    "usageType": "UNDEFINED",
    "version": "latest"
}
TTY|HG|tty_class|UNDEFINED
TTY|HG|tty_class|hierarchical
{
    "abbreviation": "HG",
    "branch": "$",
    "codeVariantType": "UNDEFINED",
    "exclude": false,
    "expandedForm": "High Level Group Term",
    "hierarchicalType": true,
    "id": 2376,
    "lastModified": 1483228800000,
    "lastModifiedBy": "loader",
    "nameVariantType": "UNDEFINED",
    "normExclude": false,
    "obsolete": false,
    "publishable": true,
    "published": true,
    "style": "UNDEFINED",
    "suppressible": false,
    "terminology": "NCIMTH",
    "timestamp": 1483228800000,
    "usageType": "UNDEFINED",
    "version": "latest"
}
TTY|HS|tty_class|SY
TTY|HS|tty_class|AB
TTY|HS|tty_class|hierarchical
{
    "abbreviation": "HS",
    "branch": "$",
    "codeVariantType": "SY",
    "exclude": false,
    "expandedForm": "Short or alternate version of hierarchical term",
    "hierarchicalType": true,
    "id": 2209,
    "lastModified": 1483228800000,
    "lastModifiedBy": "loader",
    "nameVariantType": "AB",
    "normExclude": false,
    "obsolete": false,
    "publishable": true,
    "published": true,
    "style": "UNDEFINED",
    "suppressible": false,
    "terminology": "NCIMTH",
    "timestamp": 1483228800000,
    "usageType": "UNDEFINED",
    "version": "latest"
}
TTY|HT|tty_class|PN
TTY|HT|tty_class|hierarchical
{
    "abbreviation": "HT",
    "branch": "$",
    "codeVariantType": "PN",
    "exclude": false,
    "expandedForm": "Hierarchical term",
    "hierarchicalType": true,
    "id": 2211,
    "lastModified": 1483228800000,
    "lastModifiedBy": "loader",
    "nameVariantType": "UNDEFINED",
    "normExclude": false,
    "obsolete": false,
    "publishable": true,
    "published": true,
    "style": "UNDEFINED",
    "suppressible": false,
    "terminology": "NCIMTH",
    "timestamp": 1483228800000,
    "usageType": "UNDEFINED",
    "version": "latest"
}
TTY|HX|tty_class|UNDEFINED
TTY|HX|tty_class|EXPANDED
TTY|HX|tty_class|hierarchical
{
    "abbreviation": "HX",
    "branch": "$",
    "codeVariantType": "UNDEFINED",
    "exclude": false,
    "expandedForm": "Expanded version of short hierarchical term",
    "hierarchicalType": true,
    "id": 2213,
    "lastModified": 1483228800000,
    "lastModifiedBy": "loader",
    "nameVariantType": "EXPANDED",
    "normExclude": false,
    "obsolete": false,
    "publishable": true,
    "published": true,
    "style": "UNDEFINED",
    "suppressible": false,
    "terminology": "NCIMTH",
    "timestamp": 1483228800000,
    "usageType": "UNDEFINED",
    "version": "latest"
}
TTY|IN|tty_class|PN
{
    "abbreviation": "IN",
    "branch": "$",
    "codeVariantType": "PN",
    "exclude": false,
    "expandedForm": "Name for an ingredient",
    "hierarchicalType": false,
    "id": 2220,
    "lastModified": 1483228800000,
    "lastModifiedBy": "loader",
    "nameVariantType": "UNDEFINED",
    "normExclude": false,
    "obsolete": false,
    "publishable": true,
    "published": true,
    "style": "UNDEFINED",
    "suppressible": false,
    "terminology": "NCIMTH",
    "timestamp": 1483228800000,
    "usageType": "UNDEFINED",
    "version": "latest"
}
TTY|IND|tty_class|SY
{
    "abbreviation": "IND",
    "branch": "$",
    "codeVariantType": "SY",
    "exclude": false,
    "expandedForm": "IND code",
    "hierarchicalType": false,
    "id": 2326,
    "lastModified": 1483228800000,
    "lastModifiedBy": "loader",
    "nameVariantType": "UNDEFINED",
    "normExclude": false,
    "obsolete": false,
    "publishable": true,
    "published": true,
    "style": "UNDEFINED",
    "suppressible": false,
    "terminology": "NCIMTH",
    "timestamp": 1483228800000,
    "usageType": "UNDEFINED",
    "version": "latest"
}
TTY|IS|tty_class|SY
TTY|IS|tty_class|obsolete
{
    "abbreviation": "IS",
    "branch": "$",
    "codeVariantType": "SY",
    "exclude": false,
    "expandedForm": "Obsolete Synonym",
    "hierarchicalType": false,
    "id": 2225,
    "lastModified": 1567702132000,
    "lastModifiedBy": "RADLEX_4_0",
    "nameVariantType": "UNDEFINED",
    "normExclude": false,
    "obsolete": true,
    "publishable": true,
    "published": true,
    "style": "UNDEFINED",
    "suppressible": false,
    "terminology": "NCIMTH",
    "timestamp": 1483228800000,
    "usageType": "UNDEFINED",
    "version": "latest"
}
TTY|LA|tty_class|PN
{
    "abbreviation": "LA",
    "branch": "$",
    "codeVariantType": "PN",
    "exclude": false,
    "expandedForm": "LOINC answer",
    "hierarchicalType": false,
    "id": 2274,
    "lastModified": 1483228800000,
    "lastModifiedBy": "loader",
    "nameVariantType": "UNDEFINED",
    "normExclude": false,
    "obsolete": false,
    "publishable": true,
    "published": true,
    "style": "UNDEFINED",
    "suppressible": false,
    "terminology": "NCIMTH",
    "timestamp": 1483228800000,
    "usageType": "UNDEFINED",
    "version": "latest"
}
TTY|LC|tty_class|PN
{
    "abbreviation": "LC",
    "branch": "$",
    "codeVariantType": "PN",
    "exclude": false,
    "expandedForm": "Long common name",
    "hierarchicalType": false,
    "id": 2276,
    "lastModified": 1483228800000,
    "lastModifiedBy": "loader",
    "nameVariantType": "UNDEFINED",
    "normExclude": false,
    "obsolete": false,
    "publishable": true,
    "published": true,
    "style": "UNDEFINED",
    "suppressible": false,
    "terminology": "NCIMTH",
    "timestamp": 1483228800000,
    "usageType": "UNDEFINED",
    "version": "latest"
}
TTY|LG|tty_class|PN
{
    "abbreviation": "LG",
    "branch": "$",
    "codeVariantType": "PN",
    "exclude": false,
    "expandedForm": "LOINC group",
    "hierarchicalType": false,
    "id": 5724151,
    "lastModified": 1591379477000,
    "lastModifiedBy": "MTH_2020AA",
    "nameVariantType": "UNDEFINED",
    "normExclude": false,
    "obsolete": false,
    "publishable": true,
    "published": false,
    "style": "UNDEFINED",
    "suppressible": false,
    "terminology": "NCIMTH",
    "timestamp": 1591379477000,
    "usageType": "UNDEFINED",
    "version": "latest"
}
TTY|LLT|tty_class|ET
{
    "abbreviation": "LLT",
    "branch": "$",
    "codeVariantType": "ET",
    "exclude": false,
    "expandedForm": "Lower Level Term",
    "hierarchicalType": false,
    "id": 2342,
    "lastModified": 1483228800000,
    "lastModifiedBy": "loader",
    "nameVariantType": "UNDEFINED",
    "normExclude": false,
    "obsolete": false,
    "publishable": true,
    "published": true,
    "style": "UNDEFINED",
    "suppressible": false,
    "terminology": "NCIMTH",
    "timestamp": 1483228800000,
    "usageType": "UNDEFINED",
    "version": "latest"
}
TTY|LN|tty_class|PN
{
    "abbreviation": "LN",
    "branch": "$",
    "codeVariantType": "PN",
    "exclude": false,
    "expandedForm": "LOINC official fully specified name",
    "hierarchicalType": false,
    "id": 2284,
    "lastModified": 1483228800000,
    "lastModifiedBy": "loader",
    "nameVariantType": "UNDEFINED",
    "normExclude": false,
    "obsolete": false,
    "publishable": true,
    "published": true,
    "style": "UNDEFINED",
    "suppressible": false,
    "terminology": "NCIMTH",
    "timestamp": 1483228800000,
    "usageType": "UNDEFINED",
    "version": "latest"
}
TTY|LO|tty_class|UNDEFINED
TTY|LO|tty_class|obsolete
{
    "abbreviation": "LO",
    "branch": "$",
    "codeVariantType": "UNDEFINED",
    "exclude": false,
    "expandedForm": "Obsolete official fully specified name",
    "hierarchicalType": false,
    "id": 2285,
    "lastModified": 1483228800000,
    "lastModifiedBy": "loader",
    "nameVariantType": "UNDEFINED",
    "normExclude": false,
    "obsolete": true,
    "publishable": true,
    "published": true,
    "style": "UNDEFINED",
    "suppressible": true,
    "terminology": "NCIMTH",
    "timestamp": 1483228800000,
    "usageType": "UNDEFINED",
    "version": "latest"
}
TTY|LS|tty_class|UNDEFINED
TTY|LS|tty_class|EXPANDED
{
    "abbreviation": "LS",
    "branch": "$",
    "codeVariantType": "UNDEFINED",
    "exclude": false,
    "expandedForm": "Expanded system/sample type (The expanded version was created for the Metathesaurus and includes the full name of some abbreviations.)",
    "hierarchicalType": false,
    "id": 2288,
    "lastModified": 1483228800000,
    "lastModifiedBy": "loader",
    "nameVariantType": "EXPANDED",
    "normExclude": false,
    "obsolete": false,
    "publishable": true,
    "published": true,
    "style": "UNDEFINED",
    "suppressible": false,
    "terminology": "NCIMTH",
    "timestamp": 1483228800000,
    "usageType": "UNDEFINED",
    "version": "latest"
}
TTY|LV|tty_class|SY
{
    "abbreviation": "LV",
    "branch": "$",
    "codeVariantType": "SY",
    "exclude": false,
    "expandedForm": "Lexical variant",
    "hierarchicalType": false,
    "id": 2291,
    "lastModified": 1483228800000,
    "lastModifiedBy": "loader",
    "nameVariantType": "UNDEFINED",
    "normExclude": false,
    "obsolete": false,
    "publishable": true,
    "published": true,
    "style": "UNDEFINED",
    "suppressible": false,
    "terminology": "NCIMTH",
    "timestamp": 1483228800000,
    "usageType": "UNDEFINED",
    "version": "latest"
}
TTY|MD|tty_class|PN
{
    "abbreviation": "MD",
    "branch": "$",
    "codeVariantType": "PN",
    "exclude": false,
    "expandedForm": "CCS multi-level diagnosis categories",
    "hierarchicalType": false,
    "id": 2301,
    "lastModified": 1483228800000,
    "lastModifiedBy": "loader",
    "nameVariantType": "UNDEFINED",
    "normExclude": false,
    "obsolete": false,
    "publishable": true,
    "published": true,
    "style": "UNDEFINED",
    "suppressible": false,
    "terminology": "NCIMTH",
    "timestamp": 1483228800000,
    "usageType": "UNDEFINED",
    "version": "latest"
}
TTY|MH|tty_class|PN
{
    "abbreviation": "MH",
    "branch": "$",
    "codeVariantType": "PN",
    "exclude": false,
    "expandedForm": "Main heading",
    "hierarchicalType": false,
    "id": 2303,
    "lastModified": 1483228800000,
    "lastModifiedBy": "loader",
    "nameVariantType": "UNDEFINED",
    "normExclude": false,
    "obsolete": false,
    "publishable": true,
    "published": true,
    "style": "UNDEFINED",
    "suppressible": false,
    "terminology": "NCIMTH",
    "timestamp": 1483228800000,
    "usageType": "UNDEFINED",
    "version": "latest"
}
TTY|MIN|tty_class|PN
{
    "abbreviation": "MIN",
    "branch": "$",
    "codeVariantType": "PN",
    "exclude": false,
    "expandedForm": "name for a multi-ingredient",
    "hierarchicalType": false,
    "id": 2228,
    "lastModified": 1483228800000,
    "lastModifiedBy": "loader",
    "nameVariantType": "UNDEFINED",
    "normExclude": false,
    "obsolete": false,
    "publishable": true,
    "published": true,
    "style": "UNDEFINED",
    "suppressible": false,
    "terminology": "NCIMTH",
    "timestamp": 1483228800000,
    "usageType": "UNDEFINED",
    "version": "latest"
}
TTY|MP|tty_class|ATTRIBUTE
{
    "abbreviation": "MP",
    "branch": "$",
    "codeVariantType": "ATTRIBUTE",
    "exclude": false,
    "expandedForm": "Preferred names of modifiers",
    "hierarchicalType": false,
    "id": 2305,
    "lastModified": 1483228800000,
    "lastModifiedBy": "loader",
    "nameVariantType": "UNDEFINED",
    "normExclude": false,
    "obsolete": false,
    "publishable": true,
    "published": true,
    "style": "UNDEFINED",
    "suppressible": false,
    "terminology": "NCIMTH",
    "timestamp": 1483228800000,
    "usageType": "UNDEFINED",
    "version": "latest"
}
TTY|MTH_ACR|tty_class|SY
TTY|MTH_ACR|tty_class|AB
{
    "abbreviation": "MTH_ACR",
    "branch": "$",
    "codeVariantType": "SY",
    "exclude": false,
    "expandedForm": "MTH acronym",
    "hierarchicalType": false,
    "id": 2210,
    "lastModified": 1483228800000,
    "lastModifiedBy": "loader",
    "nameVariantType": "AB",
    "normExclude": false,
    "obsolete": false,
    "publishable": true,
    "published": true,
    "style": "UNDEFINED",
    "suppressible": false,
    "terminology": "NCIMTH",
    "timestamp": 1483228800000,
    "usageType": "UNDEFINED",
    "version": "latest"
}
TTY|MTH_CN|tty_class|PN
TTY|MTH_CN|tty_class|EXPANDED
{
    "abbreviation": "MTH_CN",
    "branch": "$",
    "codeVariantType": "PN",
    "exclude": false,
    "expandedForm": "MTH Component, with abbreviations expanded.",
    "hierarchicalType": false,
    "id": 2336,
    "lastModified": 1483228800000,
    "lastModifiedBy": "loader",
    "nameVariantType": "EXPANDED",
    "normExclude": false,
    "obsolete": false,
    "publishable": true,
    "published": true,
    "style": "UNDEFINED",
    "suppressible": false,
    "terminology": "NCIMTH",
    "timestamp": 1483228800000,
    "usageType": "UNDEFINED",
    "version": "latest"
}
TTY|MTH_ET|tty_class|ET
{
    "abbreviation": "MTH_ET",
    "branch": "$",
    "codeVariantType": "ET",
    "exclude": false,
    "expandedForm": "Metathesaurus entry term",
    "hierarchicalType": false,
    "id": 2208,
    "lastModified": 1483228800000,
    "lastModifiedBy": "loader",
    "nameVariantType": "UNDEFINED",
    "normExclude": false,
    "obsolete": false,
    "publishable": true,
    "published": true,
    "style": "UNDEFINED",
    "suppressible": false,
    "terminology": "NCIMTH",
    "timestamp": 1483228800000,
    "usageType": "UNDEFINED",
    "version": "latest"
}
TTY|MTH_FN|tty_class|PN
{
    "abbreviation": "MTH_FN",
    "branch": "$",
    "codeVariantType": "PN",
    "exclude": false,
    "expandedForm": "MTH Full form of descriptor",
    "hierarchicalType": false,
    "id": 2259,
    "lastModified": 1483228800000,
    "lastModifiedBy": "loader",
    "nameVariantType": "UNDEFINED",
    "normExclude": false,
    "obsolete": false,
    "publishable": true,
    "published": true,
    "style": "UNDEFINED",
    "suppressible": false,
    "terminology": "NCIMTH",
    "timestamp": 1483228800000,
    "usageType": "UNDEFINED",
    "version": "latest"
}
TTY|MTH_HG|tty_class|UNDEFINED
TTY|MTH_HG|tty_class|hierarchical
{
    "abbreviation": "MTH_HG",
    "branch": "$",
    "codeVariantType": "UNDEFINED",
    "exclude": false,
    "expandedForm": "MTH High Level Group Term",
    "hierarchicalType": true,
    "id": 2254,
    "lastModified": 1483228800000,
    "lastModifiedBy": "loader",
    "nameVariantType": "UNDEFINED",
    "normExclude": false,
    "obsolete": false,
    "publishable": true,
    "published": true,
    "style": "UNDEFINED",
    "suppressible": false,
    "terminology": "NCIMTH",
    "timestamp": 1483228800000,
    "usageType": "UNDEFINED",
    "version": "latest"
}
TTY|MTH_HT|tty_class|UNDEFINED
TTY|MTH_HT|tty_class|hierarchical
{
    "abbreviation": "MTH_HT",
    "branch": "$",
    "codeVariantType": "UNDEFINED",
    "exclude": false,
    "expandedForm": "MTH Hierarchical term",
    "hierarchicalType": true,
    "id": 2315,
    "lastModified": 1483228800000,
    "lastModifiedBy": "loader",
    "nameVariantType": "UNDEFINED",
    "normExclude": false,
    "obsolete": false,
    "publishable": true,
    "published": true,
    "style": "UNDEFINED",
    "suppressible": false,
    "terminology": "NCIMTH",
    "timestamp": 1483228800000,
    "usageType": "UNDEFINED",
    "version": "latest"
}
TTY|MTH_HX|tty_class|UNDEFINED
TTY|MTH_HX|tty_class|hierarchical
{
    "abbreviation": "MTH_HX",
    "branch": "$",
    "codeVariantType": "UNDEFINED",
    "exclude": false,
    "expandedForm": "MTH Hierarchical term expanded",
    "hierarchicalType": true,
    "id": 2309,
    "lastModified": 1483228800000,
    "lastModifiedBy": "loader",
    "nameVariantType": "UNDEFINED",
    "normExclude": false,
    "obsolete": false,
    "publishable": true,
    "published": true,
    "style": "UNDEFINED",
    "suppressible": false,
    "terminology": "NCIMTH",
    "timestamp": 1483228800000,
    "usageType": "UNDEFINED",
