[RELA_INVERSE]
3_UTR_of|Has_3_UTR
Is_Not_Abnormal_Cell_Of_Disease|Disease_Excludes_Abnormal_Cell
Is_Not_Cytogenetic_Abnormality_Of_Disease|Disease_Excludes_Cytogenetic_Abnormality
Is_Not_Finding_Of_Disease|Disease_Excludes_Finding
Is_Not_Metastatic_Anatomic_Site_Of_Disease|Disease_Excludes_Metastatic_Anatomic_Site
Is_Not_Molecular_Abnormality_Of_Disease|Disease_Excludes_Molecular_Abnormality
Is_Not_Normal_Cell_Origin_Of_Disease|Disease_Excludes_Normal_Cell_Origin
Is_Not_Normal_Tissue_Origin_Of_Disease|Disease_Excludes_Normal_Tissue_Origin
Is_Not_Primary_Anatomic_Site_Of_Disease|Disease_Excludes_Primary_Anatomic_Site
Is_OORO_PC_Value_Of|Has_OORO_PC_Value
Is_Organism_Source_Of_Gene_Product|Gene_Product_Has_Organism_Source
Is_PCDC_ALL_Authorized_Value_For_Variable|Has_PCDC_ALL_Authorized_Value
Is_PCDC_ALL_Permissible_Value_For_Variable|Has_PCDC_ALL_Permissible_Value
Is_PCDC_AML_Authorized_Value_For_Variable|Has_PCDC_AML_Authorized_Value
Is_PCDC_AML_Permissible_Value_For|Has_PCDC_AML_Permissible_Value
Is_PCDC_AML_Permissible_Value_For_Variable|Has_PCDC_AML_Permissible_Value
Is_PCDC_EWS_Authorized_Value_For_Variable|Has_PCDC_EWS_Authorized_Value
Is_PCDC_EWS_Permissible_Value_For_Variable|Has_PCDC_EWS_Permissible_Value
Is_PCDC_GCT_Authorized_Value_For_Variable|Has_PCDC_GCT_Authorized_Value
Is_PCDC_GCT_Permissible_Value_For_Variable|Has_PCDC_GCT_Permissible_Value
Is_PCDC_HL_Authorized_Value_For_Variable|Has_PCDC_HL_Authorized_Value
Is_PCDC_HL_Permissible_Value_For_Variable|Has_PCDC_HL_Permissible_Value
Is_PCDC_OS_Authorized_Value_For_Variable|Has_PCDC_OS_Authorized_Value
Is_PCDC_OS_Permissible_Value_For_Variable|Has_PCDC_OS_Permissible_Value
Is_PRO-CTCAE_Attribute_Of|Has_PRO-CTCAE_Attribute
Is_PRO-CTCAE_Attribute_Value_Of|Has_PRO-CTCAE_Attribute_Value
Is_PRO-CTCAE_Parent_Of|Has_PRO-CTCAE_Parent
Is_Paired_With_Value_Set|Value_Set_Is_Paired_With
Is_Ped-PRO-CTCAE_Attribute_Of|Has_Ped-PRO-CTCAE_Attribute
Is_Ped-PRO-CTCAE_Attribute_Value_Of|Has_Ped-PRO-CTCAE_Attribute_Value
Is_Ped-PRO-CTCAE_Parent_Of|Has_Ped-PRO-CTCAE_Parent
Is_Physical_Location_Of_Gene|Gene_Has_Physical_Location
Is_Physiologic_Effect_Of_Chemical_Or_Drug|Chemical_Or_Drug_Has_Physiologic_Effect
Is_Primary_Anatomic_Site_Of_Disease|Disease_Has_Primary_Anatomic_Site
Is_Property_Or_Attribute_Of_EO_Disease|EO_Disease_Has_Property_Or_Attribute
Is_Qualified_By|Qualifier_Applies_To
Is_Related_To_Endogenous_Product|Endogenous_Product_Related_To
Is_SeroNet_Authorized_Value_For_Variable|Has_SeroNet_Authorized_Value
Is_SeroNet_Permissible_Value_For_Variable|Has_SeroNet_Permissible_Value
Is_Stage_Of_Disease|Disease_Is_Stage
Is_Structural_Domain_Or_Motif_Of_Gene_Product|Gene_Product_Has_Structural_Domain_Or_Motif
Is_Target_Of_Agent|Has_Target
Is_Value_For_GDC_Property|Has_GDC_Value
Isochromosome_Origin|INV_Isochromosome_Origin
Journal_Name_of|has_Journal_Name
Karyotype_Class|INV_Karyotype_Class
Kind_Is_Domain_Of|Role_Has_Domain
Kind_Is_Range_Of|Role_Has_Range
Maternal_Uniparental_Disomy_of|Has_Maternal_Uniparental_Disomy
May_Be_Abnormal_Cell_Of_Disease|Disease_May_Have_Abnormal_Cell
May_Be_Associated_Disease_Of_Disease|Disease_May_Have_Associated_Disease
May_Be_Cytogenetic_Abnormality_Of_Disease|Disease_May_Have_Cytogenetic_Abnormality
May_Be_Finding_Of_Disease|Disease_May_Have_Finding
May_Be_Molecular_Abnormality_Of_Disease|Disease_May_Have_Molecular_Abnormality
May_Be_Normal_Cell_Origin_Of_Disease|Disease_May_Have_Normal_Cell_Origin
May_Be_Normal_Tissue_Origin_Of_Disease|Disease_May_Have_Normal_Tissue_Origin
Mode_of_Inheritance|Has_Mode_of_Inheritance
Molecular_Abnormality_Involves_Gene|Gene_Involved_In_Molecular_Abnormality
NICHD_Parent_Of|Has_NICHD_Parent
Negative_Protein_Expression|Negatively_Expressed_By
Negatively_Expressed_By|Negative_Protein_Expression
Neoplasm_Has_Special_Category|Special_Category_Includes_Neoplasm
Nucleotide_Repeat_of|Has_Nucleotide_Repeat
Nucleotide_Variant_of|Has_Nucleotide_Variant
Organism_Has_Gene|Gene_Found_In_Organism
PCDC_AML_Permissible_Value_Of|Has_PCDC_AML_Permissible_Value
PCDC_Data_Type_Of|Has_PCDC_Data_Type
Parent_Is_CDRH|Has_CDRH_Parent
Parent_Is_NICHD|Has_NICHD_Parent
Partially_Excised_Anatomy_Has_Procedure|Procedure_Has_Partially_Excised_Anatomy
Partially_Excised_Anatomy_May_Have_Procedure|Procedure_May_Have_Partially_Excised_Anatomy
Paternal_Uniparental_Disomy_of|Has_Paternal_Uniparental_Disomy
Pathway_Has_Gene_Element|Gene_Is_Element_In_Pathway
Pharmaceutical_Administration_Method_Of|Has_Pharmaceutical_Administration_Method
Pharmaceutical_Basic_Dose_Form_Of|Has_Pharmaceutical_Basic_Dose_Form
Pharmaceutical_Intended_Site_Of|Has_Pharmaceutical_Intended_Site
Pharmaceutical_Release_Characteristics_Of|Has_Pharmaceutical_Release_Characteristics
Pharmaceutical_State_Of_Matter_Of|Has_Pharmaceutical_State_Of_Matter
Pharmaceutical_Transformation_Of|Has_Pharmaceutical_Transformation
Positive_Protein_Expression|Positively_Expressed_By
Positively_Expressed_By|Positive_Protein_Expression
Procedure_Has_Completely_Excised_Anatomy|Completely_Excised_Anatomy_Has_Procedure
Procedure_Has_Excised_Anatomy|Excised_Anatomy_Has_Procedure
Procedure_Has_Imaged_Anatomy|Imaged_Anatomy_Has_Procedure
Procedure_Has_Partially_Excised_Anatomy|Partially_Excised_Anatomy_Has_Procedure
Procedure_Has_Target_Anatomy|Target_Anatomy_Has_Procedure
Procedure_May_Have_Completely_Excised_Anatomy|Completely_Excised_Anatomy_May_Have_Procedure
Procedure_May_Have_Excised_Anatomy|Excised_Anatomy_May_Have_Procedure
Procedure_May_Have_Partially_Excised_Anatomy|Partially_Excised_Anatomy_May_Have_Procedure
Process_Altered_By_Allele|Allele_Plays_Altered_Role_In_Process
Process_Includes_Biological_Process|Biological_Process_Is_Part_Of_Process
Process_Initiates_Biological_Process|Biological_Process_Has_Initiator_Process
Process_Involves_Gene|Gene_Plays_Role_In_Process
PubMedID_of|has_PubMedID
Publication_Year_of|has_Publication_Year
Qualifier_Applies_To|Is_Qualified_By
RT_Product_of|Has_RT_Product
Regimen_Has_Accepted_Use_For_Disease|Disease_Has_Accepted_Treatment_With_Regimen
Related_To_Genetic_Biomarker|Genetic_Biomarker_Related_To
